times,counts
0.5,82.0
0.5,0.0
0.5,0.0
0.5,110.0
0.5,50.0
0.5,104.0
0.5,21.0
0.5,0.0
0.5,0.0
0.5,70.0
0.5,129.0
0.5,84.0
0.5,41.0
0.5,141.0
0.5,78.0
0.5,60.0
0.5,121.0
0.5,0.0
0.5,0.0
0.5,121.0
0.5,0.0
0.5,30.0
0.5,0.0
0.5,17.0
0.5,83.0
0.5,112.0
0.5,0.0
0.5,50.0
0.5,0.0
0.5,125.0
0.5,119.0
0.5,0.0
0.5,68.0
0.5,80.0
0.5,21.0
0.5,147.0
0.5,98.0
0.5,7.0
0.5,63.0
0.5,15.0
0.5,134.0
0.5,0.0
0.5,0.0
0.5,160.0
0.5,56.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,135.0
0.5,0.0
0.5,165.0
0.5,35.0
0.5,156.0
0.5,111.0
0.5,0.0
0.5,36.0
0.5,0.0
0.5,26.0
0.5,56.0
0.5,0.0
0.5,0.0
0.5,113.0
0.5,144.0
0.5,57.0
0.5,10.0
0.5,55.0
0.5,4.0
0.5,135.0
0.5,24.0
0.5,73.0
0.5,143.0
0.5,78.0
0.5,0.0
0.5,153.0
0.5,83.0
0.5,56.0
0.5,102.0
0.5,165.0
0.5,0.0
0.5,77.0
0.5,134.0
0.5,0.0
0.5,132.0
0.5,113.0
0.5,21.0
0.5,0.0
0.5,175.0
0.5,0.0
0.5,135.0
0.5,134.0
0.5,94.0
0.5,108.0
0.5,0.0
0.5,166.0
0.5,23.0
0.5,0.0
0.5,25.0
0.5,15.0
0.5,135.0
0.5,0.0
0.5,0.0
0.5,53.0
0.5,92.0
0.5,0.0
0.5,65.0
0.5,117.0
0.5,0.0
0.5,130.0
0.5,24.0
0.5,0.0
0.5,117.0
0.5,49.0
0.5,96.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,137.0
0.5,22.0
0.5,121.0
0.5,73.0
0.5,74.0
0.5,0.0
0.5,11.0
0.5,0.0
0.5,0.0
0.5,57.0
0.5,164.0
0.5,131.0
0.5,96.0
0.5,0.0
0.5,130.0
0.5,146.0
0.5,0.0
0.5,107.0
0.5,75.0
0.5,24.0
0.5,18.0
0.5,0.0
0.5,0.0
0.5,56.0
0.5,109.0
0.5,7.0
0.5,0.0
0.5,48.0
0.5,60.0
0.5,0.0
0.5,0.0
0.5,135.0
0.5,36.0
0.5,30.0
0.5,93.0
0.5,0.0
0.5,0.0
0.5,48.0
0.5,98.0
0.5,114.0
0.5,0.0
0.5,96.0
0.5,153.0
0.5,0.0
0.5,74.0
0.5,0.0
0.5,0.0
0.5,11.0
0.5,0.0
0.5,111.0
0.5,14.0
0.5,21.0
0.5,127.0
0.5,0.0
0.5,144.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,91.0
0.5,0.0
0.5,0.0
0.5,108.0
0.5,0.0
0.5,154.0
0.5,84.0
0.5,0.0
0.5,99.0
0.5,31.0
0.5,0.0
0.5,78.0
0.5,126.0
0.5,0.0
0.5,0.0
0.5,99.0
0.5,0.0
0.5,80.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,46.0
0.5,36.0
0.5,88.0
0.5,152.0
0.5,113.0
0.5,104.0
0.5,0.0
0.5,0.0
0.5,101.0
0.5,53.0
0.5,123.0
0.5,0.0
0.5,16.0
0.5,0.0
0.5,103.0
0.5,19.0
0.5,0.0
0.5,17.0
0.5,143.0
0.5,27.0
0.5,0.0
0.5,115.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,130.0
0.5,51.0
0.5,124.0
0.5,32.0
0.5,85.0
0.5,0.0
0.5,111.0
0.5,0.0
0.5,104.0
0.5,152.0
0.5,32.0
0.5,0.0
0.5,34.0
0.5,0.0
0.5,110.0
0.5,0.0
0.5,41.0
0.5,0.0
0.5,71.0
0.5,0.0
0.5,76.0
0.5,3.0
0.5,0.0
0.5,0.0
0.5,145.0
0.5,52.0
0.5,0.0
0.5,0.0
0.5,36.0
0.5,80.0
0.5,99.0
0.5,0.0
0.5,79.0
0.5,41.0
0.5,50.0
0.5,0.0
0.5,0.0
0.5,127.0
0.5,65.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,88.0
0.5,0.0
0.5,0.0
0.5,103.0
0.5,43.0
0.5,0.0
0.5,17.0
0.5,102.0
0.5,70.0
0.5,0.0
0.5,134.0
0.5,129.0
0.5,18.0
0.5,0.0
0.5,29.0
0.5,0.0
0.5,147.0
0.5,110.0
0.5,152.0
0.5,0.0
0.5,0.0
0.5,46.0
0.5,0.0
0.5,0.0
0.5,140.0
0.5,4.0
0.5,85.0
0.5,0.0
0.5,105.0
0.5,21.0
0.5,0.0
0.5,158.0
0.5,0.0
0.5,44.0
0.5,95.0
0.5,0.0
1.0,260.0
1.0,146.0
1.0,0.0
1.0,159.0
1.0,0.0
1.0,159.0
1.0,147.0
1.0,88.0
1.0,103.0
1.0,119.0
1.0,227.0
1.0,218.0
1.0,0.0
1.0,206.0
1.0,70.0
1.0,214.0
1.0,141.0
1.0,26.0
1.0,201.0
1.0,0.0
1.0,108.0
1.0,70.0
1.0,25.0
1.0,0.0
1.0,191.0
1.0,0.0
1.0,185.0
1.0,0.0
1.0,145.0
1.0,113.0
1.0,56.0
1.0,171.0
1.0,233.0
1.0,112.0
1.0,52.0
1.0,202.0
1.0,115.0
1.0,241.0
1.0,201.0
1.0,190.0
1.0,205.0
1.0,255.0
1.0,159.0
1.0,142.0
1.0,202.0
1.0,154.0
1.0,218.0
1.0,75.0
1.0,69.0
1.0,209.0
1.0,256.0
1.0,117.0
1.0,200.0
1.0,176.0
1.0,168.0
1.0,128.0
1.0,92.0
1.0,193.0
1.0,245.0
1.0,134.0
1.0,48.0
1.0,51.0
1.0,116.0
1.0,0.0
1.0,146.0
1.0,205.0
1.0,194.0
1.0,0.0
1.0,10.0
1.0,241.0
1.0,178.0
1.0,93.0
1.0,126.0
1.0,269.0
1.0,0.0
1.0,55.0
1.0,173.0
1.0,161.0
1.0,162.0
1.0,226.0
1.0,100.0
1.0,225.0
1.0,129.0
1.0,107.0
1.0,166.0
1.0,174.0
1.0,133.0
1.0,68.0
1.0,143.0
1.0,181.0
1.0,169.0
1.0,169.0
1.0,182.0
1.0,85.0
1.0,66.0
1.0,188.0
1.0,302.0
1.0,216.0
1.0,204.0
1.0,0.0
1.0,268.0
1.0,0.0
1.0,130.0
1.0,107.0
1.0,172.0
1.0,256.0
1.0,0.0
1.0,140.0
1.0,191.0
1.0,203.0
1.0,217.0
1.0,253.0
1.0,166.0
1.0,227.0
1.0,168.0
1.0,0.0
1.0,130.0
1.0,13.0
1.0,149.0
1.0,189.0
1.0,247.0
1.0,5.0
1.0,0.0
1.0,0.0
1.0,53.0
1.0,195.0
1.0,161.0
1.0,64.0
1.0,222.0
1.0,10.0
1.0,0.0
1.0,119.0
1.0,101.0
1.0,132.0
1.0,190.0
1.0,120.0
1.0,226.0
1.0,257.0
1.0,103.0
1.0,129.0
1.0,182.0
1.0,191.0
1.0,191.0
1.0,139.0
1.0,219.0
1.0,192.0
1.0,134.0
1.0,0.0
1.0,0.0
1.0,270.0
1.0,13.0
1.0,159.0
1.0,33.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,67.0
1.0,239.0
1.0,55.0
1.0,104.0
1.0,195.0
1.0,124.0
1.0,106.0
1.0,169.0
1.0,0.0
1.0,10.0
1.0,39.0
1.0,166.0
1.0,57.0
1.0,232.0
1.0,240.0
1.0,0.0
1.0,162.0
1.0,137.0
1.0,140.0
1.0,185.0
1.0,29.0
1.0,146.0
1.0,0.0
1.0,244.0
1.0,16.0
1.0,0.0
1.0,157.0
1.0,197.0
1.0,254.0
1.0,131.0
1.0,117.0
1.0,0.0
1.0,24.0
1.0,146.0
1.0,108.0
1.0,159.0
1.0,138.0
1.0,55.0
1.0,183.0
1.0,206.0
1.0,0.0
1.0,52.0
1.0,0.0
1.0,112.0
1.0,178.0
1.0,31.0
1.0,249.0
1.0,166.0
1.0,197.0
1.0,118.0
1.0,132.0
1.0,192.0
1.0,196.0
1.0,231.0
1.0,141.0
1.0,223.0
1.0,19.0
1.0,95.0
1.0,189.0
1.0,24.0
1.0,159.0
1.0,24.0
1.0,240.0
1.0,195.0
1.0,41.0
1.0,98.0
1.0,104.0
1.0,0.0
1.0,91.0
1.0,133.0
1.0,256.0
1.0,75.0
1.0,0.0
1.0,244.0
1.0,205.0
1.0,216.0
1.0,221.0
1.0,0.0
1.0,31.0
1.0,238.0
1.0,184.0
1.0,118.0
1.0,257.0
1.0,195.0
1.0,195.0
1.0,172.0
1.0,9.0
1.0,15.0
1.0,0.0
1.0,8.0
1.0,250.0
1.0,183.0
1.0,92.0
1.0,183.0
1.0,112.0
1.0,147.0
1.0,77.0
1.0,30.0
1.0,238.0
1.0,151.0
1.0,0.0
1.0,106.0
1.0,150.0
1.0,229.0
1.0,0.0
1.0,46.0
1.0,0.0
1.0,0.0
1.0,159.0
1.0,83.0
1.0,51.0
1.0,16.0
1.0,206.0
1.0,239.0
1.0,233.0
1.0,137.0
1.0,52.0
1.0,1.0
1.0,65.0
1.0,77.0
1.0,85.0
1.0,160.0
1.0,200.0
1.0,38.0
1.0,215.0
1.0,213.0
1.0,127.0
1.0,270.0
1.0,0.0
1.0,42.0
1.0,0.0
1.0,90.0
1.0,149.0
1.0,68.0
1.0,115.0
1.0,85.0
1.0,192.0
1.0,191.0
1.0,89.0
1.0,0.0
1.0,65.0
1.0,195.0
1.0,138.0
1.0,232.0
1.5,310.0
1.5,273.0
1.5,74.0
1.5,43.0
1.5,304.0
1.5,108.0
1.5,141.0
1.5,322.0
1.5,0.0
1.5,195.0
1.5,0.0
1.5,14.0
1.5,78.0
1.5,47.0
1.5,34.0
1.5,174.0
1.5,142.0
1.5,28.0
1.5,287.0
1.5,206.0
1.5,197.0
1.5,172.0
1.5,246.0
1.5,279.0
1.5,28.0
1.5,164.0
1.5,180.0
1.5,320.0
1.5,272.0
1.5,298.0
1.5,122.0
1.5,83.0
1.5,262.0
1.5,261.0
1.5,0.0
1.5,52.0
1.5,186.0
1.5,48.0
1.5,212.0
1.5,310.0
1.5,255.0
1.5,209.0
1.5,0.0
1.5,121.0
1.5,0.0
1.5,255.0
1.5,200.0
1.5,295.0
1.5,57.0
1.5,132.0
1.5,238.0
1.5,280.0
1.5,250.0
1.5,187.0
1.5,142.0
1.5,146.0
1.5,47.0
1.5,313.0
1.5,61.0
1.5,223.0
1.5,279.0
1.5,62.0
1.5,96.0
1.5,302.0
1.5,0.0
1.5,102.0
1.5,300.0
1.5,19.0
1.5,270.0
1.5,215.0
1.5,254.0
1.5,149.0
1.5,59.0
1.5,11.0
1.5,296.0
1.5,322.0
1.5,0.0
1.5,284.0
1.5,229.0
1.5,49.0
1.5,187.0
1.5,107.0
1.5,9.0
1.5,245.0
1.5,173.0
1.5,213.0
1.5,211.0
1.5,288.0
1.5,184.0
1.5,308.0
1.5,57.0
1.5,85.0
1.5,258.0
1.5,0.0
1.5,250.0
1.5,260.0
1.5,26.0
1.5,228.0
1.5,321.0
1.5,124.0
1.5,23.0
1.5,163.0
1.5,267.0
1.5,271.0
1.5,237.0
1.5,262.0
1.5,280.0
1.5,285.0
1.5,147.0
1.5,35.0
1.5,206.0
1.5,170.0
1.5,198.0
1.5,94.0
1.5,207.0
1.5,287.0
1.5,304.0
1.5,237.0
1.5,195.0
