times,counts_P,counts_R
0.5,2.0,9.0
0.5,1.0,6.0
0.5,0.0,8.0
0.5,3.0,20.0
0.5,1.0,7.0
0.5,1.0,7.0
0.5,1.0,5.0
0.5,1.0,8.0
0.5,1.0,7.0
0.5,5.0,7.0
0.5,4.0,8.0
0.5,3.0,9.0
0.5,0.0,7.0
0.5,1.0,4.0
0.5,2.0,9.0
0.5,1.0,10.0
0.5,0.0,9.0
0.5,1.0,7.0
0.5,2.0,7.0
0.5,1.0,16.0
0.5,0.0,6.0
0.5,4.0,14.0
0.5,1.0,8.0
0.5,3.0,8.0
0.5,1.0,4.0
0.5,5.0,7.0
0.5,3.0,6.0
0.5,5.0,10.0
0.5,5.0,9.0
0.5,2.0,6.0
0.5,3.0,7.0
0.5,2.0,6.0
0.5,1.0,9.0
0.5,4.0,13.0
0.5,0.0,3.0
0.5,0.0,10.0
0.5,3.0,8.0
0.5,2.0,8.0
0.5,1.0,5.0
0.5,1.0,6.0
0.5,1.0,10.0
0.5,1.0,7.0
0.5,4.0,14.0
0.5,2.0,5.0
0.5,1.0,9.0
0.5,1.0,10.0
0.5,2.0,14.0
0.5,1.0,8.0
0.5,1.0,5.0
0.5,1.0,5.0
0.5,6.0,13.0
0.5,1.0,6.0
0.5,2.0,11.0
0.5,1.0,8.0
0.5,2.0,12.0
0.5,0.0,5.0
0.5,4.0,4.0
0.5,5.0,12.0
0.5,2.0,8.0
0.5,3.0,9.0
0.5,2.0,13.0
0.5,2.0,8.0
0.5,2.0,4.0
0.5,5.0,12.0
0.5,3.0,8.0
0.5,2.0,10.0
0.5,1.0,8.0
0.5,1.0,5.0
0.5,4.0,9.0
0.5,2.0,11.0
0.5,2.0,6.0
0.5,2.0,5.0
0.5,1.0,7.0
0.5,6.0,8.0
0.5,6.0,9.0
0.5,1.0,7.0
0.5,4.0,9.0
0.5,1.0,2.0
0.5,2.0,7.0
0.5,2.0,13.0
0.5,0.0,6.0
0.5,6.0,17.0
0.5,2.0,8.0
0.5,1.0,7.0
0.5,0.0,9.0
0.5,5.0,11.0
0.5,4.0,11.0
0.5,0.0,4.0
0.5,4.0,6.0
0.5,2.0,4.0
0.5,1.0,8.0
0.5,2.0,2.0
0.5,4.0,9.0
0.5,2.0,6.0
0.5,3.0,9.0
0.5,0.0,6.0
0.5,1.0,4.0
0.5,1.0,12.0
0.5,3.0,12.0
0.5,4.0,6.0
0.5,1.0,8.0
0.5,1.0,7.0
0.5,4.0,9.0
0.5,1.0,9.0
0.5,3.0,7.0
0.5,0.0,6.0
0.5,1.0,6.0
0.5,1.0,8.0
0.5,1.0,4.0
0.5,2.0,6.0
0.5,1.0,5.0
0.5,0.0,7.0
0.5,1.0,13.0
0.5,0.0,8.0
0.5,0.0,4.0
0.5,1.0,7.0
0.5,6.0,7.0
0.5,0.0,5.0
0.5,0.0,3.0
0.5,1.0,7.0
0.5,0.0,10.0
0.5,2.0,7.0
0.5,5.0,10.0
0.5,1.0,8.0
0.5,0.0,6.0
0.5,0.0,4.0
0.5,1.0,6.0
0.5,1.0,9.0
0.5,2.0,7.0
0.5,0.0,8.0
0.5,4.0,5.0
0.5,0.0,6.0
0.5,0.0,8.0
0.5,2.0,8.0
0.5,1.0,5.0
0.5,3.0,7.0
0.5,1.0,7.0
0.5,6.0,9.0
0.5,2.0,9.0
0.5,0.0,5.0
0.5,3.0,8.0
0.5,0.0,9.0
