times,counts
0.5,83.0
0.5,71.0
0.5,81.0
0.5,85.0
0.5,72.0
0.5,81.0
0.5,76.0
0.5,86.0
0.5,81.0
0.5,94.0
0.5,83.0
0.5,71.0
0.5,81.0
0.5,81.0
0.5,69.0
0.5,67.0
0.5,66.0
0.5,94.0
0.5,86.0
0.5,82.0
0.5,91.0
0.5,69.0
0.5,84.0
0.5,81.0
0.5,81.0
0.5,76.0
0.5,93.0
0.5,84.0
0.5,85.0
0.5,88.0
0.5,64.0
0.5,69.0
0.5,83.0
0.5,77.0
0.5,72.0
0.5,76.0
0.5,92.0
0.5,59.0
0.5,75.0
0.5,71.0
0.5,77.0
0.5,86.0
0.5,72.0
0.5,83.0
0.5,77.0
0.5,75.0
0.5,70.0
0.5,70.0
0.5,69.0
0.5,64.0
0.5,76.0
0.5,78.0
0.5,76.0
0.5,90.0
0.5,79.0
0.5,80.0
0.5,78.0
0.5,64.0
0.5,74.0
0.5,77.0
0.5,81.0
0.5,100.0
0.5,86.0
0.5,74.0
0.5,83.0
0.5,90.0
0.5,87.0
0.5,78.0
0.5,79.0
0.5,94.0
0.5,81.0
0.5,71.0
0.5,67.0
0.5,69.0
0.5,86.0
0.5,81.0
0.5,93.0
0.5,86.0
0.5,93.0
0.5,71.0
0.5,71.0
0.5,74.0
0.5,75.0
0.5,77.0
0.5,75.0
0.5,81.0
0.5,86.0
0.5,87.0
0.5,66.0
0.5,92.0
0.5,80.0
0.5,86.0
0.5,72.0
0.5,64.0
0.5,78.0
0.5,68.0
0.5,75.0
0.5,79.0
0.5,81.0
0.5,65.0
0.5,92.0
0.5,65.0
0.5,93.0
0.5,73.0
0.5,76.0
0.5,74.0
0.5,61.0
0.5,88.0
0.5,87.0
0.5,92.0
0.5,83.0
0.5,82.0
0.5,74.0
0.5,85.0
0.5,62.0
0.5,83.0
0.5,81.0
0.5,78.0
0.5,69.0
0.5,65.0
0.5,76.0
0.5,85.0
0.5,67.0
0.5,67.0
0.5,81.0
0.5,80.0
0.5,78.0
0.5,74.0
0.5,78.0
0.5,84.0
0.5,77.0
0.5,90.0
0.5,87.0
0.5,71.0
0.5,79.0
0.5,81.0
0.5,74.0
0.5,79.0
0.5,76.0
0.5,68.0
0.5,87.0
0.5,95.0
0.5,73.0
0.5,85.0
0.5,80.0
0.5,63.0
0.5,75.0
0.5,81.0
0.5,72.0
0.5,84.0
0.5,70.0
0.5,83.0
0.5,57.0
0.5,76.0
0.5,90.0
0.5,75.0
0.5,99.0
0.5,72.0
0.5,85.0
0.5,75.0
0.5,76.0
0.5,77.0
0.5,84.0
0.5,92.0
0.5,78.0
0.5,86.0
0.5,71.0
0.5,76.0
0.5,70.0
0.5,79.0
0.5,73.0
0.5,84.0
0.5,81.0
0.5,59.0
0.5,84.0
0.5,73.0
0.5,89.0
0.5,80.0
0.5,77.0
0.5,60.0
0.5,74.0
0.5,77.0
0.5,82.0
0.5,93.0
0.5,96.0
0.5,79.0
0.5,82.0
0.5,77.0
0.5,75.0
0.5,70.0
0.5,82.0
0.5,74.0
0.5,79.0
0.5,86.0
0.5,71.0
0.5,78.0
0.5,82.0
0.5,63.0
0.5,83.0
0.5,87.0
0.5,101.0
0.5,71.0
0.5,92.0
0.5,83.0
0.5,88.0
0.5,94.0
0.5,73.0
0.5,73.0
0.5,75.0
0.5,64.0
0.5,79.0
0.5,75.0
0.5,87.0
0.5,73.0
0.5,96.0
0.5,66.0
0.5,99.0
0.5,77.0
0.5,64.0
0.5,85.0
0.5,63.0
0.5,83.0
0.5,79.0
0.5,72.0
0.5,83.0
0.5,69.0
0.5,86.0
0.5,64.0
0.5,70.0
0.5,75.0
0.5,70.0
0.5,62.0
0.5,86.0
0.5,79.0
0.5,75.0
0.5,71.0
0.5,76.0
0.5,73.0
0.5,95.0
0.5,82.0
0.5,85.0
0.5,84.0
0.5,74.0
0.5,60.0
0.5,79.0
0.5,79.0
0.5,75.0
0.5,62.0
0.5,69.0
0.5,77.0
0.5,71.0
0.5,82.0
0.5,83.0
0.5,84.0
0.5,96.0
0.5,78.0
0.5,84.0
0.5,81.0
0.5,87.0
0.5,90.0
0.5,83.0
0.5,75.0
0.5,80.0
0.5,73.0
0.5,64.0
0.5,93.0
0.5,79.0
0.5,67.0
0.5,78.0
0.5,65.0
0.5,85.0
0.5,71.0
0.5,90.0
0.5,83.0
0.5,88.0
0.5,100.0
0.5,62.0
0.5,70.0
0.5,84.0
0.5,75.0
0.5,79.0
0.5,67.0
0.5,73.0
0.5,79.0
0.5,84.0
0.5,68.0
0.5,76.0
0.5,83.0
0.5,106.0
0.5,84.0
0.5,99.0
0.5,76.0
0.5,87.0
0.5,81.0
0.5,78.0
0.5,89.0
0.5,87.0
0.5,82.0
0.5,72.0
0.5,85.0
1.0,134.0
1.0,137.0
1.0,115.0
1.0,127.0
1.0,139.0
1.0,127.0
1.0,120.0
1.0,137.0
1.0,123.0
1.0,131.0
1.0,103.0
1.0,135.0
1.0,126.0
1.0,128.0
1.0,115.0
1.0,128.0
1.0,135.0
1.0,137.0
1.0,109.0
1.0,129.0
1.0,120.0
1.0,128.0
1.0,121.0
1.0,118.0
1.0,114.0
1.0,129.0
1.0,128.0
1.0,136.0
1.0,131.0
1.0,126.0
1.0,119.0
1.0,132.0
1.0,119.0
1.0,121.0
1.0,130.0
1.0,134.0
1.0,117.0
1.0,129.0
1.0,105.0
1.0,103.0
1.0,114.0
1.0,130.0
1.0,121.0
1.0,128.0
1.0,108.0
1.0,122.0
1.0,121.0
1.0,140.0
1.0,123.0
1.0,127.0
1.0,102.0
1.0,133.0
1.0,136.0
1.0,135.0
1.0,130.0
1.0,113.0
1.0,123.0
1.0,136.0
1.0,132.0
1.0,121.0
1.0,115.0
1.0,125.0
1.0,133.0
1.0,131.0
1.0,125.0
1.0,125.0
1.0,144.0
1.0,131.0
1.0,111.0
1.0,121.0
1.0,130.0
1.0,126.0
1.0,107.0
1.0,111.0
1.0,121.0
1.0,127.0
1.0,125.0
1.0,143.0
1.0,137.0
1.0,119.0
1.0,146.0
1.0,115.0
1.0,116.0
1.0,149.0
1.0,125.0
1.0,139.0
1.0,141.0
1.0,133.0
1.0,118.0
1.0,130.0
1.0,112.0
1.0,126.0
1.0,146.0
1.0,138.0
1.0,133.0
1.0,130.0
1.0,137.0
1.0,116.0
1.0,130.0
1.0,141.0
1.0,136.0
1.0,121.0
1.0,129.0
1.0,131.0
1.0,140.0
1.0,111.0
1.0,131.0
1.0,122.0
1.0,123.0
1.0,128.0
1.0,153.0
1.0,121.0
1.0,136.0
1.0,128.0
1.0,124.0
1.0,137.0
1.0,137.0
1.0,117.0
1.0,131.0
1.0,136.0
1.0,140.0
1.0,136.0
1.0,116.0
1.0,114.0
1.0,140.0
1.0,126.0
1.0,120.0
1.0,127.0
1.0,115.0
1.0,122.0
1.0,134.0
1.0,119.0
1.0,136.0
1.0,123.0
1.0,109.0
1.0,126.0
1.0,124.0
1.0,138.0
1.0,149.0
1.0,123.0
1.0,121.0
1.0,129.0
1.0,132.0
1.0,127.0
1.0,134.0
1.0,126.0
1.0,136.0
1.0,108.0
1.0,119.0
1.0,127.0
1.0,126.0
1.0,108.0
1.0,156.0
1.0,143.0
1.0,135.0
1.0,122.0
1.0,134.0
1.0,142.0
1.0,139.0
1.0,113.0
1.0,120.0
1.0,124.0
1.0,114.0
1.0,130.0
1.0,125.0
1.0,112.0
1.0,154.0
1.0,130.0
1.0,139.0
1.0,126.0
1.0,110.0
1.0,131.0
1.0,151.0
1.0,149.0
1.0,129.0
1.0,114.0
1.0,131.0
1.0,129.0
1.0,123.0
1.0,134.0
1.0,144.0
1.0,122.0
1.0,125.0
1.0,141.0
1.0,122.0
1.0,103.0
1.0,135.0
1.0,133.0
1.0,128.0
1.0,136.0
1.0,132.0
1.0,143.0
1.0,119.0
1.0,123.0
1.0,102.0
1.0,137.0
1.0,136.0
1.0,108.0
1.0,144.0
1.0,124.0
1.0,124.0
1.0,113.0
1.0,123.0
1.0,127.0
1.0,132.0
1.0,129.0
1.0,140.0
1.0,126.0
1.0,129.0
1.0,123.0
1.0,114.0
1.0,104.0
1.0,120.0
1.0,144.0
1.0,134.0
1.0,139.0
1.0,130.0
1.0,122.0
1.0,113.0
1.0,117.0
1.0,105.0
1.0,135.0
1.0,131.0
1.0,140.0
1.0,111.0
1.0,125.0
1.0,124.0
1.0,105.0
1.0,120.0
1.0,109.0
1.0,117.0
1.0,112.0
1.0,134.0
1.0,134.0
1.0,120.0
1.0,130.0
1.0,122.0
1.0,109.0
1.0,140.0
1.0,130.0
1.0,124.0
1.0,130.0
1.0,115.0
1.0,126.0
1.0,132.0
1.0,120.0
1.0,137.0
1.0,134.0
1.0,118.0
1.0,120.0
1.0,125.0
1.0,133.0
1.0,123.0
1.0,108.0
1.0,105.0
1.0,145.0
1.0,113.0
1.0,116.0
1.0,122.0
1.0,120.0
1.0,123.0
1.0,137.0
1.0,121.0
1.0,140.0
1.0,115.0
1.0,110.0
1.0,126.0
1.0,116.0
1.0,110.0
1.0,106.0
1.0,109.0
1.0,120.0
1.0,136.0
1.0,108.0
1.0,122.0
1.0,118.0
1.0,120.0
1.0,121.0
1.0,137.0
1.0,139.0
1.0,128.0
1.0,110.0
1.0,126.0
1.0,119.0
1.0,129.0
1.0,128.0
1.0,125.0
1.0,132.0
1.0,126.0
1.0,133.0
1.0,121.0
1.0,132.0
1.0,131.0
1.0,119.0
1.0,138.0
1.0,122.0
1.0,139.0
1.0,144.0
1.0,118.0
1.0,144.0
1.5,146.0
1.5,157.0
1.5,157.0
1.5,144.0
1.5,155.0
1.5,181.0
1.5,148.0
1.5,151.0
1.5,153.0
1.5,127.0
1.5,169.0
1.5,185.0
1.5,171.0
1.5,140.0
1.5,168.0
1.5,161.0
1.5,155.0
1.5,168.0
1.5,158.0
1.5,163.0
1.5,152.0
1.5,143.0
1.5,161.0
1.5,151.0
1.5,139.0
1.5,157.0
1.5,165.0
1.5,140.0
1.5,155.0
1.5,150.0
1.5,155.0
1.5,152.0
1.5,143.0
1.5,145.0
1.5,149.0
1.5,169.0
1.5,154.0
1.5,170.0
1.5,166.0
1.5,157.0
1.5,169.0
1.5,158.0
1.5,140.0
1.5,161.0
1.5,146.0
1.5,142.0
1.5,152.0
1.5,154.0
1.5,150.0
1.5,154.0
1.5,155.0
1.5,162.0
1.5,157.0
1.5,165.0
1.5,154.0
1.5,149.0
1.5,151.0
1.5,167.0
1.5,155.0
1.5,153.0
1.5,149.0
1.5,172.0
1.5,144.0
1.5,149.0
1.5,160.0
1.5,171.0
1.5,150.0
1.5,136.0
1.5,149.0
1.5,149.0
1.5,143.0
1.5,162.0
1.5,145.0
1.5,168.0
1.5,141.0
1.5,164.0
1.5,164.0
1.5,143.0
1.5,152.0
1.5,158.0
1.5,169.0
1.5,159.0
1.5,164.0
1.5,142.0
1.5,155.0
1.5,157.0
1.5,136.0
1.5,132.0
1.5,127.0
1.5,148.0
1.5,146.0
1.5,149.0
1.5,151.0
1.5,142.0
1.5,143.0
1.5,166.0
1.5,146.0
1.5,132.0
1.5,153.0
1.5,136.0
1.5,173.0
1.5,155.0
1.5,167.0
1.5,155.0
1.5,160.0
1.5,171.0
1.5,146.0
1.5,144.0
1.5,159.0
1.5,142.0
1.5,155.0
1.5,141.0
1.5,166.0
1.5,167.0
1.5,142.0
1.5,136.0
1.5,148.0
1.5,153.0
1.5,140.0
1.5,152.0
1.5,166.0
1.5,160.0
1.5,153.0
1.5,147.0
1.5,150.0
1.5,166.0
1.5,163.0
1.5,164.0
1.5,148.0
1.5,165.0
1.5,144.0
1.5,183.0
1.5,156.0
1.5,160.0
1.5,170.0
1.5,167.0
1.5,154.0
1.5,159.0
1.5,138.0
1.5,171.0
1.5,156.0
1.5,158.0
1.5,138.0
1.5,186.0
1.5,141.0
1.5,139.0
1.5,162.0
1.5,163.0
1.5,146.0
1.5,174.0
1.5,145.0
1.5,150.0
1.5,164.0
1.5,156.0
1.5,146.0
1.5,151.0
1.5,169.0
1.5,168.0
1.5,153.0
1.5,163.0
1.5,163.0
1.5,152.0
1.5,175.0
1.5,161.0
1.5,167.0
1.5,173.0
1.5,163.0
1.5,175.0
1.5,157.0
1.5,151.0
1.5,169.0
1.5,180.0
1.5,165.0
1.5,156.0
1.5,153.0
1.5,159.0
1.5,168.0
1.5,138.0
1.5,155.0
1.5,165.0
1.5,148.0
1.5,155.0
1.5,154.0
1.5,143.0
1.5,163.0
1.5,157.0
1.5,151.0
1.5,162.0
1.5,139.0
1.5,166.0
1.5,140.0
1.5,152.0
1.5,144.0
1.5,175.0
1.5,153.0
1.5,160.0
1.5,173.0
1.5,156.0
1.5,160.0
1.5,160.0
1.5,152.0
1.5,157.0
1.5,166.0
1.5,141.0
1.5,133.0
1.5,169.0
1.5,165.0
1.5,166.0
1.5,159.0
1.5,152.0
1.5,135.0
1.5,159.0
1.5,140.0
1.5,164.0
1.5,167.0
1.5,167.0
1.5,160.0
1.5,174.0
1.5,155.0
1.5,162.0
1.5,158.0
1.5,173.0
1.5,169.0
1.5,164.0
1.5,154.0
1.5,153.0
